filename,success,collision_occurred,wall_collisions,agent_collisions,human_collisions,timeout_occurred,failure_to_progress,stalled_time,time_to_goal,path_length,success_weighted_path_length,v_min,v_avg,v_max,a_min,a_avg,a_max,j_min,j_avg,j_max,cd_min,cd_avg,space_compliance,min_distance_to_human,min_time_to_collision,aggregated_time,quality_score
A000006.json,1,0,0,0,0,0,0,0.6000000000000001,5.200000000000001,3.679098476824823,1.0,0.0,0.7135135241456934,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.7125576679681506,1.0051325622212985,1.0,0.7125576679681506,0.8906970716877676,5.200000000000001,1.0
A000023.json,1,1,0,0,0,0,0,2.500000000000001,12.700000000000001,7.89900036773008,0.08847087697380153,0.0,0.6518518615652014,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.49176398993313486,1.1571213170330366,0.08,0.49176398993313486,0.6147049782566006,12.700000000000001,0.08
A000019.json,1,0,0,0,0,0,0,1.5000000000000002,4.000000000000001,1.919858215557741,0.8280697378500941,0.0,0.48000000715255736,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.4591527797654874,0.7352745397220611,0.98,0.4591527797654874,0.5739409661544724,4.000000000000001,0.98
A000037.json,1,1,0,0,0,0,0,3.3000000000000007,8.100000000000001,3.910777819025209,0.46361666114958733,0.0,0.45817085327925505,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.5199222435896005,0.8250430676562728,0.74,0.5199222435896005,0.6555287505755116,8.100000000000001,0.74
A000029.json,1,0,0,0,0,0,0,0.0,0.4,0.31999824108461816,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,2.1786329429945117,2.247536488048539,1.0,2.1786329429945117,2.7232911381629394,0.4,1.0
A000030.json,1,0,0,0,0,0,0,0.19999999999999996,5.500000000000001,4.29507324224172,0.35482283114501384,0.0,0.7734746764867734,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.9918992709079579,1.3461555904855056,1.0,0.9918992709079579,1.239874070159384,5.500000000000001,1.0
A000046.json,1,0,0,0,0,0,0,1.6,2.1,0.3998766511886607,1.0,0.0,0.26666667064030963,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6398413282445864,0.6887160834363498,1.0,0.6398413282445864,0.7998016483877597,2.1,1.0
A000044.json,1,0,0,0,0,0,0,0.19999999999999973,6.700000000000001,5.11790205550403,0.6825718321857623,0.0,0.7826087073139523,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.0924223193241387,1.7296327390898907,1.0,1.0924223193241387,1.3655278788072223,6.700000000000001,1.0
A000039.json,1,1,0,0,0,0,0,0.8999999999999999,5.4,3.5988003532282105,0.8875103581119169,0.0,0.6947368524576488,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.3579532026423926,0.8707215209379056,0.68,0.3579532026423926,0.4474414966355929,5.4,0.68
A000014.json,1,1,0,0,0,0,0,3.2,9.3,4.137709138167537,0.5710230874518536,0.0,0.4961191171505412,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.5472498433816593,1.2789623907387533,0.85,0.5472498433816593,0.6840622940337516,9.3,0.85
A000035.json,1,1,0,0,0,0,0,0.19999999999999996,4.500000000000001,3.0389681833680307,0.7549928070574301,0.0,0.7757575873172644,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.3115337386415701,0.8656746237934901,0.68,0.3115337386415701,0.38941716749919464,4.500000000000001,0.68
A000025.json,1,0,0,0,0,0,0,2.8000000000000003,5.000000000000001,1.8400000274181367,1.0,0.0,0.3555555608537462,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.9199005146196154,1.133125832946349,0.98,0.9199005146196154,1.1498756261400371,5.000000000000001,0.98
A000027.json,1,0,0,0,0,0,0,0.0,4.000000000000001,3.199127789614134,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.8433506615579209,1.5376713711581596,1.0,0.8433506615579209,1.054188311238771,4.000000000000001,1.0
A000008.json,1,1,0,0,0,0,0,0.0,5.700000000000001,3.7609954381229946,0.9890161061106588,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6477537641940317,0.8773797555251731,0.82,0.6477537641940317,0.8096921931771858,5.700000000000001,0.82
A000028.json,1,1,0,0,0,0,0,0.30000000000000016,5.000000000000001,3.518526010927257,0.32556266868655787,0.0,0.7333333442608515,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.28137431142006264,0.8474912527954025,0.45,0.28137431142006264,0.3517178840340734,5.000000000000001,0.45
A000022.json,0,1,0,0,0,0,0,5.0999999999999925,29.8,15.034075797043489,0.0,0.0,0.6652174012168593,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.3620033395648889,0.7353065371379855,0.0,0.3620033395648889,0.45250416771327356,29.8,0.0
A000048.json,1,0,0,0,0,0,0,0.8,1.3,0.3998766511886609,1.0,0.0,0.4000000059604645,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.7267072622228914,0.8872262730812324,1.0,0.7267072622228914,0.9083840642426368,1.3,1.0
A000050.json,1,0,0,0,0,0,0,0.7999999999999999,3.3000000000000003,2.0501942680570666,0.6546728081530144,0.0,0.6001796793937683,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.0132976462982184,1.326755947836352,1.0,1.0132976462982184,1.2666220389986338,3.3000000000000003,1.0
A000012.json,1,0,0,0,0,0,0,1.4000000000000001,5.000000000000001,2.878822673229939,0.7034056234107479,0.0,0.5777777863873376,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.8075406658275136,1.1213339571817833,1.0,0.8075406658275136,1.0094258172427752,5.000000000000001,1.0
